doctor_id	first_name	last_name	age	specialty	surgical_procedure_count
1	Αλέξανδρος	Παπαδόπουλος	29	Χειρουργική	2
2	Ελένη	Γεωργίου	30	Παθολογία	2
3	Γεώργιος	Νικολάου	31	ΜΕΘ	2
4	Μαρία	Ιωάννου	32	Επείγοντα	2
5	Δημήτριος	Δημητρίου	33	Ορθοπαιδική	2
6	Σοφία	Κωνσταντίνου	34	Πνευμονολογική	2
22	Ελένη	Γεωργίου	28	Παθολογία	2
23	Γεώργιος	Νικολάου	29	ΜΕΘ	2
24	Μαρία	Ιωάννου	30	Επείγοντα	2
25	Δημήτριος	Δημητρίου	31	Ορθοπαιδική	2
26	Σοφία	Κωνσταντίνου	32	Πνευμονολογική	2
27	Νικόλαος	Αντωνίου	33	Νευρολογική	2
28	Κατερίνα	Χριστοδούλου	34	Ουρολογική	2
44	Μαρία	Ιωάννου	28	Επείγοντα	2
45	Δημήτριος	Δημητρίου	29	Ορθοπαιδική	2
46	Σοφία	Κωνσταντίνου	30	Πνευμονολογική	2
47	Νικόλαος	Αντωνίου	31	Νευρολογική	2
48	Κατερίνα	Χριστοδούλου	32	Ουρολογική	2
49	Ιωάννης	Αλεξίου	33	Γαστρεντερολογία	2
50	Αναστασία	Σταύρου	34	Καρδιολογία	2
