staff_id	first_name	last_name	staff_type	staff_subcategory	staff_class
273	Ανδρέας	Αθανασίου	ADMIN	Γραμματεία	administrative_staff
276	Βασιλική	Οικονόμου	ADMIN	Γραμματεία	administrative_staff
279	Κωνσταντίνος	Βασιλείου	ADMIN	Γραμματεία	administrative_staff
282	Ελένη	Γεωργίου	ADMIN	Γραμματεία	administrative_staff
285	Δημήτριος	Δημητρίου	ADMIN	Γραμματεία	administrative_staff
288	Κατερίνα	Χριστοδούλου	ADMIN	Γραμματεία	administrative_staff
291	Παναγιώτης	Πετρίδης	ADMIN	Γραμματεία	administrative_staff
294	Ειρήνη	Παντελίδης	ADMIN	Γραμματεία	administrative_staff
297	Μιχαήλ	Καραγιάννης	ADMIN	Γραμματεία	administrative_staff
300	Άννα	Λάμπρου	ADMIN	Γραμματεία	administrative_staff
303	Γεώργιος	Νικολάου	ADMIN	Γραμματεία	administrative_staff
306	Σοφία	Κωνσταντίνου	ADMIN	Γραμματεία	administrative_staff
309	Ιωάννης	Αλεξίου	ADMIN	Γραμματεία	administrative_staff
312	Χριστίνα	Μιχαηλίδης	ADMIN	Γραμματεία	administrative_staff
315	Σταύρος	Σωτηρίου	ADMIN	Γραμματεία	administrative_staff
318	Δέσποινα	Μακρή	ADMIN	Γραμματεία	administrative_staff
321	Αλέξανδρος	Παπαδόπουλος	ADMIN	Γραμματεία	administrative_staff
324	Μαρία	Ιωάννου	ADMIN	Γραμματεία	administrative_staff
327	Νικόλαος	Αντωνίου	ADMIN	Γραμματεία	administrative_staff
330	Αναστασία	Σταύρου	ADMIN	Γραμματεία	administrative_staff
274	Ειρήνη	Παντελίδης	ADMIN	Λογιστήριο	administrative_staff
277	Μιχαήλ	Καραγιάννης	ADMIN	Λογιστήριο	administrative_staff
280	Άννα	Λάμπρου	ADMIN	Λογιστήριο	administrative_staff
283	Γεώργιος	Νικολάου	ADMIN	Λογιστήριο	administrative_staff
286	Σοφία	Κωνσταντίνου	ADMIN	Λογιστήριο	administrative_staff
289	Ιωάννης	Αλεξίου	ADMIN	Λογιστήριο	administrative_staff
292	Χριστίνα	Μιχαηλίδης	ADMIN	Λογιστήριο	administrative_staff
295	Σταύρος	Σωτηρίου	ADMIN	Λογιστήριο	administrative_staff
298	Δέσποινα	Μακρή	ADMIN	Λογιστήριο	administrative_staff
304	Μαρία	Ιωάννου	ADMIN	Λογιστήριο	administrative_staff
307	Νικόλαος	Αντωνίου	ADMIN	Λογιστήριο	administrative_staff
310	Αναστασία	Σταύρου	ADMIN	Λογιστήριο	administrative_staff
313	Ανδρέας	Αθανασίου	ADMIN	Λογιστήριο	administrative_staff
316	Βασιλική	Οικονόμου	ADMIN	Λογιστήριο	administrative_staff
319	Κωνσταντίνος	Βασιλείου	ADMIN	Λογιστήριο	administrative_staff
322	Ελένη	Γεωργίου	ADMIN	Λογιστήριο	administrative_staff
325	Δημήτριος	Δημητρίου	ADMIN	Λογιστήριο	administrative_staff
328	Κατερίνα	Χριστοδούλου	ADMIN	Λογιστήριο	administrative_staff
275	Σταύρος	Σωτηρίου	ADMIN	Υποδοχή	administrative_staff
278	Δέσποινα	Μακρή	ADMIN	Υποδοχή	administrative_staff
281	Αλέξανδρος	Παπαδόπουλος	ADMIN	Υποδοχή	administrative_staff
284	Μαρία	Ιωάννου	ADMIN	Υποδοχή	administrative_staff
287	Νικόλαος	Αντωνίου	ADMIN	Υποδοχή	administrative_staff
290	Αναστασία	Σταύρου	ADMIN	Υποδοχή	administrative_staff
293	Ανδρέας	Αθανασίου	ADMIN	Υποδοχή	administrative_staff
296	Βασιλική	Οικονόμου	ADMIN	Υποδοχή	administrative_staff
299	Κωνσταντίνος	Βασιλείου	ADMIN	Υποδοχή	administrative_staff
305	Δημήτριος	Δημητρίου	ADMIN	Υποδοχή	administrative_staff
308	Κατερίνα	Χριστοδούλου	ADMIN	Υποδοχή	administrative_staff
311	Παναγιώτης	Πετρίδης	ADMIN	Υποδοχή	administrative_staff
314	Ειρήνη	Παντελίδης	ADMIN	Υποδοχή	administrative_staff
317	Μιχαήλ	Καραγιάννης	ADMIN	Υποδοχή	administrative_staff
320	Άννα	Λάμπρου	ADMIN	Υποδοχή	administrative_staff
323	Γεώργιος	Νικολάου	ADMIN	Υποδοχή	administrative_staff
326	Σοφία	Κωνσταντίνου	ADMIN	Υποδοχή	administrative_staff
329	Ιωάννης	Αλεξίου	ADMIN	Υποδοχή	administrative_staff
9	Ιωάννης	Αλεξίου	DOCTOR	Γαστρεντερολογία	doctor
19	Κωνσταντίνος	Βασιλείου	DOCTOR	Γαστρεντερολογία	doctor
29	Ιωάννης	Αλεξίου	DOCTOR	Γαστρεντερολογία	doctor
39	Κωνσταντίνος	Βασιλείου	DOCTOR	Γαστρεντερολογία	doctor
49	Ιωάννης	Αλεξίου	DOCTOR	Γαστρεντερολογία	doctor
59	Κωνσταντίνος	Βασιλείου	DOCTOR	Γαστρεντερολογία	doctor
69	Ιωάννης	Αλεξίου	DOCTOR	Γαστρεντερολογία	doctor
79	Κωνσταντίνος	Βασιλείου	DOCTOR	Γαστρεντερολογία	doctor
89	Ιωάννης	Αλεξίου	DOCTOR	Γαστρεντερολογία	doctor
4	Μαρία	Ιωάννου	DOCTOR	Επείγοντα	doctor
14	Ειρήνη	Παντελίδης	DOCTOR	Επείγοντα	doctor
24	Μαρία	Ιωάννου	DOCTOR	Επείγοντα	doctor
34	Ειρήνη	Παντελίδης	DOCTOR	Επείγοντα	doctor
44	Μαρία	Ιωάννου	DOCTOR	Επείγοντα	doctor
54	Ειρήνη	Παντελίδης	DOCTOR	Επείγοντα	doctor
64	Μαρία	Ιωάννου	DOCTOR	Επείγοντα	doctor
74	Ειρήνη	Παντελίδης	DOCTOR	Επείγοντα	doctor
84	Μαρία	Ιωάννου	DOCTOR	Επείγοντα	doctor
10	Αναστασία	Σταύρου	DOCTOR	Καρδιολογία	doctor
20	Άννα	Λάμπρου	DOCTOR	Καρδιολογία	doctor
30	Αναστασία	Σταύρου	DOCTOR	Καρδιολογία	doctor
40	Άννα	Λάμπρου	DOCTOR	Καρδιολογία	doctor
50	Αναστασία	Σταύρου	DOCTOR	Καρδιολογία	doctor
60	Άννα	Λάμπρου	DOCTOR	Καρδιολογία	doctor
70	Αναστασία	Σταύρου	DOCTOR	Καρδιολογία	doctor
80	Άννα	Λάμπρου	DOCTOR	Καρδιολογία	doctor
90	Αναστασία	Σταύρου	DOCTOR	Καρδιολογία	doctor
13	Ανδρέας	Αθανασίου	DOCTOR	ΜΕΘ	doctor
23	Γεώργιος	Νικολάου	DOCTOR	ΜΕΘ	doctor
33	Ανδρέας	Αθανασίου	DOCTOR	ΜΕΘ	doctor
43	Γεώργιος	Νικολάου	DOCTOR	ΜΕΘ	doctor
53	Ανδρέας	Αθανασίου	DOCTOR	ΜΕΘ	doctor
63	Γεώργιος	Νικολάου	DOCTOR	ΜΕΘ	doctor
73	Ανδρέας	Αθανασίου	DOCTOR	ΜΕΘ	doctor
83	Γεώργιος	Νικολάου	DOCTOR	ΜΕΘ	doctor
7	Νικόλαος	Αντωνίου	DOCTOR	Νευρολογική	doctor
17	Μιχαήλ	Καραγιάννης	DOCTOR	Νευρολογική	doctor
27	Νικόλαος	Αντωνίου	DOCTOR	Νευρολογική	doctor
37	Μιχαήλ	Καραγιάννης	DOCTOR	Νευρολογική	doctor
57	Μιχαήλ	Καραγιάννης	DOCTOR	Νευρολογική	doctor
67	Νικόλαος	Αντωνίου	DOCTOR	Νευρολογική	doctor
77	Μιχαήλ	Καραγιάννης	DOCTOR	Νευρολογική	doctor
87	Νικόλαος	Αντωνίου	DOCTOR	Νευρολογική	doctor
5	Δημήτριος	Δημητρίου	DOCTOR	Ορθοπαιδική	doctor
15	Σταύρος	Σωτηρίου	DOCTOR	Ορθοπαιδική	doctor
25	Δημήτριος	Δημητρίου	DOCTOR	Ορθοπαιδική	doctor
35	Σταύρος	Σωτηρίου	DOCTOR	Ορθοπαιδική	doctor
45	Δημήτριος	Δημητρίου	DOCTOR	Ορθοπαιδική	doctor
55	Σταύρος	Σωτηρίου	DOCTOR	Ορθοπαιδική	doctor
65	Δημήτριος	Δημητρίου	DOCTOR	Ορθοπαιδική	doctor
75	Σταύρος	Σωτηρίου	DOCTOR	Ορθοπαιδική	doctor
85	Δημήτριος	Δημητρίου	DOCTOR	Ορθοπαιδική	doctor
8	Κατερίνα	Χριστοδούλου	DOCTOR	Ουρολογική	doctor
18	Δέσποινα	Μακρή	DOCTOR	Ουρολογική	doctor
28	Κατερίνα	Χριστοδούλου	DOCTOR	Ουρολογική	doctor
38	Δέσποινα	Μακρή	DOCTOR	Ουρολογική	doctor
58	Δέσποινα	Μακρή	DOCTOR	Ουρολογική	doctor
68	Κατερίνα	Χριστοδούλου	DOCTOR	Ουρολογική	doctor
78	Δέσποινα	Μακρή	DOCTOR	Ουρολογική	doctor
88	Κατερίνα	Χριστοδούλου	DOCTOR	Ουρολογική	doctor
12	Χριστίνα	Μιχαηλίδης	DOCTOR	Παθολογία	doctor
22	Ελένη	Γεωργίου	DOCTOR	Παθολογία	doctor
32	Χριστίνα	Μιχαηλίδης	DOCTOR	Παθολογία	doctor
42	Ελένη	Γεωργίου	DOCTOR	Παθολογία	doctor
52	Χριστίνα	Μιχαηλίδης	DOCTOR	Παθολογία	doctor
62	Ελένη	Γεωργίου	DOCTOR	Παθολογία	doctor
72	Χριστίνα	Μιχαηλίδης	DOCTOR	Παθολογία	doctor
82	Ελένη	Γεωργίου	DOCTOR	Παθολογία	doctor
6	Σοφία	Κωνσταντίνου	DOCTOR	Πνευμονολογική	doctor
16	Βασιλική	Οικονόμου	DOCTOR	Πνευμονολογική	doctor
26	Σοφία	Κωνσταντίνου	DOCTOR	Πνευμονολογική	doctor
36	Βασιλική	Οικονόμου	DOCTOR	Πνευμονολογική	doctor
56	Βασιλική	Οικονόμου	DOCTOR	Πνευμονολογική	doctor
66	Σοφία	Κωνσταντίνου	DOCTOR	Πνευμονολογική	doctor
76	Βασιλική	Οικονόμου	DOCTOR	Πνευμονολογική	doctor
86	Σοφία	Κωνσταντίνου	DOCTOR	Πνευμονολογική	doctor
11	Παναγιώτης	Πετρίδης	DOCTOR	Χειρουργική	doctor
21	Αλέξανδρος	Παπαδόπουλος	DOCTOR	Χειρουργική	doctor
31	Παναγιώτης	Πετρίδης	DOCTOR	Χειρουργική	doctor
41	Αλέξανδρος	Παπαδόπουλος	DOCTOR	Χειρουργική	doctor
51	Παναγιώτης	Πετρίδης	DOCTOR	Χειρουργική	doctor
61	Αλέξανδρος	Παπαδόπουλος	DOCTOR	Χειρουργική	doctor
71	Παναγιώτης	Πετρίδης	DOCTOR	Χειρουργική	doctor
81	Αλέξανδρος	Παπαδόπουλος	DOCTOR	Χειρουργική	doctor
99	Κωνσταντίνος	Βασιλείου	NURSE	Βοηθός Νοσηλευτή	nurse
102	Ελένη	Γεωργίου	NURSE	Βοηθός Νοσηλευτή	nurse
105	Δημήτριος	Δημητρίου	NURSE	Βοηθός Νοσηλευτή	nurse
108	Κατερίνα	Χριστοδούλου	NURSE	Βοηθός Νοσηλευτή	nurse
111	Παναγιώτης	Πετρίδης	NURSE	Βοηθός Νοσηλευτή	nurse
114	Ειρήνη	Παντελίδης	NURSE	Βοηθός Νοσηλευτή	nurse
117	Μιχαήλ	Καραγιάννης	NURSE	Βοηθός Νοσηλευτή	nurse
123	Γεώργιος	Νικολάου	NURSE	Βοηθός Νοσηλευτή	nurse
126	Σοφία	Κωνσταντίνου	NURSE	Βοηθός Νοσηλευτή	nurse
129	Ιωάννης	Αλεξίου	NURSE	Βοηθός Νοσηλευτή	nurse
132	Χριστίνα	Μιχαηλίδης	NURSE	Βοηθός Νοσηλευτή	nurse
135	Σταύρος	Σωτηρίου	NURSE	Βοηθός Νοσηλευτή	nurse
138	Δέσποινα	Μακρή	NURSE	Βοηθός Νοσηλευτή	nurse
141	Αλέξανδρος	Παπαδόπουλος	NURSE	Βοηθός Νοσηλευτή	nurse
144	Μαρία	Ιωάννου	NURSE	Βοηθός Νοσηλευτή	nurse
147	Νικόλαος	Αντωνίου	NURSE	Βοηθός Νοσηλευτή	nurse
153	Ανδρέας	Αθανασίου	NURSE	Βοηθός Νοσηλευτή	nurse
156	Βασιλική	Οικονόμου	NURSE	Βοηθός Νοσηλευτή	nurse
159	Κωνσταντίνος	Βασιλείου	NURSE	Βοηθός Νοσηλευτή	nurse
162	Ελένη	Γεωργίου	NURSE	Βοηθός Νοσηλευτή	nurse
165	Δημήτριος	Δημητρίου	NURSE	Βοηθός Νοσηλευτή	nurse
168	Κατερίνα	Χριστοδούλου	NURSE	Βοηθός Νοσηλευτή	nurse
171	Παναγιώτης	Πετρίδης	NURSE	Βοηθός Νοσηλευτή	nurse
174	Ειρήνη	Παντελίδης	NURSE	Βοηθός Νοσηλευτή	nurse
177	Μιχαήλ	Καραγιάννης	NURSE	Βοηθός Νοσηλευτή	nurse
189	Ιωάννης	Αλεξίου	NURSE	Βοηθός Νοσηλευτή	nurse
192	Χριστίνα	Μιχαηλίδης	NURSE	Βοηθός Νοσηλευτή	nurse
195	Σταύρος	Σωτηρίου	NURSE	Βοηθός Νοσηλευτή	nurse
198	Δέσποινα	Μακρή	NURSE	Βοηθός Νοσηλευτή	nurse
