hospitalization_year	total_hospitalization_days	patient_id	amka	first_name	last_name	hospitalization_count
2025	20	11	28010000011	Παναγιώτης	Πετρίδης	2
2025	20	23	28010000023	Κωνσταντίνος	Νικολάου	2
2025	20	35	28010000035	Σταύρος	Σωτηρίου	2
2025	20	47	28010000047	Δημήτριος	Αντωνίου	2
2025	20	59	28010000059	Μιχαήλ	Βασιλείου	2
2025	20	71	28010000071	Παναγιώτης	Πετρίδης	2
2025	20	83	28010000083	Κωνσταντίνος	Νικολάου	2
2025	20	95	28010000095	Σταύρος	Σωτηρίου	2
2025	20	107	28010000107	Δημήτριος	Αντωνίου	2
2025	20	119	28010000119	Μιχαήλ	Βασιλείου	2
2025	20	131	28010000131	Παναγιώτης	Πετρίδης	2
2025	20	143	28010000143	Κωνσταντίνος	Νικολάου	2
2025	20	155	28010000155	Σταύρος	Σωτηρίου	2
2025	18	22	28010000022	Μαρία	Γεωργίου	2
2025	18	34	28010000034	Βασιλική	Παντελίδης	2
2025	18	46	28010000046	Αναστασία	Κωνσταντίνου	2
2025	18	58	28010000058	Δέσποινα	Μακρή	2
2025	18	70	28010000070	Κατερίνα	Σταύρου	2
2025	18	82	28010000082	Μαρία	Γεωργίου	2
2025	18	94	28010000094	Βασιλική	Παντελίδης	2
2025	18	106	28010000106	Αναστασία	Κωνσταντίνου	2
2025	18	118	28010000118	Δέσποινα	Μακρή	2
2025	18	130	28010000130	Κατερίνα	Σταύρου	2
2025	18	142	28010000142	Μαρία	Γεωργίου	2
2025	18	154	28010000154	Βασιλική	Παντελίδης	2
2025	16	15	28010000015	Σταύρος	Σωτηρίου	2
2025	16	21	28010000021	Γεώργιος	Παπαδόπουλος	2
2025	16	27	28010000027	Δημήτριος	Αντωνίου	2
2025	16	33	28010000033	Ανδρέας	Αθανασίου	2
2025	16	39	28010000039	Μιχαήλ	Βασιλείου	2
2025	16	45	28010000045	Νικόλαος	Δημητρίου	2
2025	16	51	28010000051	Παναγιώτης	Πετρίδης	2
2025	16	57	28010000057	Αλέξανδρος	Καραγιάννης	2
2025	16	63	28010000063	Κωνσταντίνος	Νικολάου	2
2025	16	69	28010000069	Ιωάννης	Αλεξίου	2
2025	16	75	28010000075	Σταύρος	Σωτηρίου	2
2025	16	81	28010000081	Γεώργιος	Παπαδόπουλος	2
2025	16	87	28010000087	Δημήτριος	Αντωνίου	2
2025	16	93	28010000093	Ανδρέας	Αθανασίου	2
2025	16	99	28010000099	Μιχαήλ	Βασιλείου	2
2025	16	105	28010000105	Νικόλαος	Δημητρίου	2
2025	16	111	28010000111	Παναγιώτης	Πετρίδης	2
2025	16	117	28010000117	Αλέξανδρος	Καραγιάννης	2
2025	16	123	28010000123	Κωνσταντίνος	Νικολάου	2
2025	16	129	28010000129	Ιωάννης	Αλεξίου	2
2025	16	135	28010000135	Σταύρος	Σωτηρίου	2
2025	16	141	28010000141	Γεώργιος	Παπαδόπουλος	2
2025	16	147	28010000147	Δημήτριος	Αντωνίου	2
2025	16	153	28010000153	Ανδρέας	Αθανασίου	2
2025	16	159	28010000159	Μιχαήλ	Βασιλείου	2
