doctor_id	first_name	last_name	specialty	doctor_rank	procedure_count_current_year	top_procedure_count	procedure_gap_from_top
1	Αλέξανδρος	Παπαδόπουλος	Χειρουργική	Διευθυντής	0	10	10
2	Ελένη	Γεωργίου	Παθολογία	Διευθυντής	0	10	10
3	Γεώργιος	Νικολάου	ΜΕΘ	Διευθυντής	0	10	10
4	Μαρία	Ιωάννου	Επείγοντα	Διευθυντής	0	10	10
5	Δημήτριος	Δημητρίου	Ορθοπαιδική	Διευθυντής	0	10	10
6	Σοφία	Κωνσταντίνου	Πνευμονολογική	Διευθυντής	0	10	10
7	Νικόλαος	Αντωνίου	Νευρολογική	Διευθυντής	0	10	10
8	Κατερίνα	Χριστοδούλου	Ουρολογική	Διευθυντής	0	10	10
9	Ιωάννης	Αλεξίου	Γαστρεντερολογία	Διευθυντής	0	10	10
10	Αναστασία	Σταύρου	Καρδιολογία	Διευθυντής	0	10	10
11	Παναγιώτης	Πετρίδης	Χειρουργική	Διευθυντής	0	10	10
12	Χριστίνα	Μιχαηλίδης	Παθολογία	Διευθυντής	0	10	10
13	Ανδρέας	Αθανασίου	ΜΕΘ	Διευθυντής	0	10	10
14	Ειρήνη	Παντελίδης	Επείγοντα	Διευθυντής	0	10	10
15	Σταύρος	Σωτηρίου	Ορθοπαιδική	Διευθυντής	0	10	10
16	Βασιλική	Οικονόμου	Πνευμονολογική	Επιμελητής Α	0	10	10
17	Μιχαήλ	Καραγιάννης	Νευρολογική	Επιμελητής Β	0	10	10
18	Δέσποινα	Μακρή	Ουρολογική	Επιμελητής Α	0	10	10
19	Κωνσταντίνος	Βασιλείου	Γαστρεντερολογία	Επιμελητής Α	0	10	10
20	Άννα	Λάμπρου	Καρδιολογία	Ειδικευόμενος	0	10	10
22	Ελένη	Γεωργίου	Παθολογία	Επιμελητής Α	0	10	10
23	Γεώργιος	Νικολάου	ΜΕΘ	Επιμελητής Β	0	10	10
24	Μαρία	Ιωάννου	Επείγοντα	Επιμελητής Α	0	10	10
25	Δημήτριος	Δημητρίου	Ορθοπαιδική	Ειδικευόμενος	0	10	10
26	Σοφία	Κωνσταντίνου	Πνευμονολογική	Επιμελητής Α	0	10	10
27	Νικόλαος	Αντωνίου	Νευρολογική	Επιμελητής Β	0	10	10
28	Κατερίνα	Χριστοδούλου	Ουρολογική	Επιμελητής Α	0	10	10
29	Ιωάννης	Αλεξίου	Γαστρεντερολογία	Επιμελητής Β	0	10	10
30	Αναστασία	Σταύρου	Καρδιολογία	Ειδικευόμενος	0	10	10
31	Παναγιώτης	Πετρίδης	Χειρουργική	Επιμελητής Β	0	10	10
32	Χριστίνα	Μιχαηλίδης	Παθολογία	Επιμελητής Α	0	10	10
33	Ανδρέας	Αθανασίου	ΜΕΘ	Επιμελητής Β	0	10	10
34	Ειρήνη	Παντελίδης	Επείγοντα	Επιμελητής Α	0	10	10
35	Σταύρος	Σωτηρίου	Ορθοπαιδική	Ειδικευόμενος	0	10	10
36	Βασιλική	Οικονόμου	Πνευμονολογική	Επιμελητής Α	0	10	10
37	Μιχαήλ	Καραγιάννης	Νευρολογική	Επιμελητής Β	0	10	10
38	Δέσποινα	Μακρή	Ουρολογική	Επιμελητής Α	0	10	10
39	Κωνσταντίνος	Βασιλείου	Γαστρεντερολογία	Επιμελητής Β	0	10	10
40	Άννα	Λάμπρου	Καρδιολογία	Ειδικευόμενος	0	10	10
41	Αλέξανδρος	Παπαδόπουλος	Χειρουργική	Επιμελητής Β	0	10	10
42	Ελένη	Γεωργίου	Παθολογία	Επιμελητής Α	0	10	10
43	Γεώργιος	Νικολάου	ΜΕΘ	Επιμελητής Β	0	10	10
44	Μαρία	Ιωάννου	Επείγοντα	Επιμελητής Α	0	10	10
45	Δημήτριος	Δημητρίου	Ορθοπαιδική	Ειδικευόμενος	0	10	10
46	Σοφία	Κωνσταντίνου	Πνευμονολογική	Επιμελητής Α	0	10	10
47	Νικόλαος	Αντωνίου	Νευρολογική	Επιμελητής Β	0	10	10
48	Κατερίνα	Χριστοδούλου	Ουρολογική	Επιμελητής Α	0	10	10
49	Ιωάννης	Αλεξίου	Γαστρεντερολογία	Επιμελητής Α	0	10	10
50	Αναστασία	Σταύρου	Καρδιολογία	Ειδικευόμενος	0	10	10
51	Παναγιώτης	Πετρίδης	Χειρουργική	Επιμελητής Β	0	10	10
52	Χριστίνα	Μιχαηλίδης	Παθολογία	Επιμελητής Α	0	10	10
53	Ανδρέας	Αθανασίου	ΜΕΘ	Επιμελητής Β	0	10	10
54	Ειρήνη	Παντελίδης	Επείγοντα	Επιμελητής Α	0	10	10
55	Σταύρος	Σωτηρίου	Ορθοπαιδική	Ειδικευόμενος	0	10	10
56	Βασιλική	Οικονόμου	Πνευμονολογική	Επιμελητής Α	0	10	10
57	Μιχαήλ	Καραγιάννης	Νευρολογική	Επιμελητής Β	0	10	10
58	Δέσποινα	Μακρή	Ουρολογική	Επιμελητής Α	0	10	10
59	Κωνσταντίνος	Βασιλείου	Γαστρεντερολογία	Επιμελητής Β	0	10	10
60	Άννα	Λάμπρου	Καρδιολογία	Ειδικευόμενος	0	10	10
61	Αλέξανδρος	Παπαδόπουλος	Χειρουργική	Επιμελητής Β	0	10	10
62	Ελένη	Γεωργίου	Παθολογία	Επιμελητής Α	0	10	10
63	Γεώργιος	Νικολάου	ΜΕΘ	Επιμελητής Β	0	10	10
64	Μαρία	Ιωάννου	Επείγοντα	Επιμελητής Α	0	10	10
65	Δημήτριος	Δημητρίου	Ορθοπαιδική	Ειδικευόμενος	0	10	10
66	Σοφία	Κωνσταντίνου	Πνευμονολογική	Επιμελητής Α	0	10	10
67	Νικόλαος	Αντωνίου	Νευρολογική	Επιμελητής Β	0	10	10
68	Κατερίνα	Χριστοδούλου	Ουρολογική	Επιμελητής Α	0	10	10
69	Ιωάννης	Αλεξίου	Γαστρεντερολογία	Επιμελητής Β	0	10	10
70	Αναστασία	Σταύρου	Καρδιολογία	Ειδικευόμενος	0	10	10
71	Παναγιώτης	Πετρίδης	Χειρουργική	Επιμελητής Β	0	10	10
72	Χριστίνα	Μιχαηλίδης	Παθολογία	Επιμελητής Α	0	10	10
73	Ανδρέας	Αθανασίου	ΜΕΘ	Επιμελητής Β	0	10	10
74	Ειρήνη	Παντελίδης	Επείγοντα	Επιμελητής Α	0	10	10
75	Σταύρος	Σωτηρίου	Ορθοπαιδική	Ειδικευόμενος	0	10	10
76	Βασιλική	Οικονόμου	Πνευμονολογική	Επιμελητής Α	0	10	10
77	Μιχαήλ	Καραγιάννης	Νευρολογική	Επιμελητής Β	0	10	10
78	Δέσποινα	Μακρή	Ουρολογική	Επιμελητής Α	0	10	10
79	Κωνσταντίνος	Βασιλείου	Γαστρεντερολογία	Επιμελητής Α	0	10	10
80	Άννα	Λάμπρου	Καρδιολογία	Ειδικευόμενος	0	10	10
