doctor_id	doctor_first_name	doctor_last_name	doctor_rank	hierarchy_level	supervisor_id	supervisor_first_name	supervisor_last_name	supervisor_rank	supervisor_specialty	is_director_level
20	Άννα	Λάμπρου	Ειδικευόμενος	1	5	Δημήτριος	Δημητρίου	Διευθυντής	Ορθοπαιδική	YES
25	Δημήτριος	Δημητρίου	Ειδικευόμενος	1	10	Αναστασία	Σταύρου	Διευθυντής	Καρδιολογία	YES
30	Αναστασία	Σταύρου	Ειδικευόμενος	1	15	Σταύρος	Σωτηρίου	Διευθυντής	Ορθοπαιδική	YES
35	Σταύρος	Σωτηρίου	Ειδικευόμενος	1	5	Δημήτριος	Δημητρίου	Διευθυντής	Ορθοπαιδική	YES
40	Άννα	Λάμπρου	Ειδικευόμενος	1	10	Αναστασία	Σταύρου	Διευθυντής	Καρδιολογία	YES
45	Δημήτριος	Δημητρίου	Ειδικευόμενος	1	15	Σταύρος	Σωτηρίου	Διευθυντής	Ορθοπαιδική	YES
50	Αναστασία	Σταύρου	Ειδικευόμενος	1	5	Δημήτριος	Δημητρίου	Διευθυντής	Ορθοπαιδική	YES
55	Σταύρος	Σωτηρίου	Ειδικευόμενος	1	10	Αναστασία	Σταύρου	Διευθυντής	Καρδιολογία	YES
60	Άννα	Λάμπρου	Ειδικευόμενος	1	15	Σταύρος	Σωτηρίου	Διευθυντής	Ορθοπαιδική	YES
65	Δημήτριος	Δημητρίου	Ειδικευόμενος	1	5	Δημήτριος	Δημητρίου	Διευθυντής	Ορθοπαιδική	YES
70	Αναστασία	Σταύρου	Ειδικευόμενος	1	10	Αναστασία	Σταύρου	Διευθυντής	Καρδιολογία	YES
75	Σταύρος	Σωτηρίου	Ειδικευόμενος	1	15	Σταύρος	Σωτηρίου	Διευθυντής	Ορθοπαιδική	YES
80	Άννα	Λάμπρου	Ειδικευόμενος	1	5	Δημήτριος	Δημητρίου	Διευθυντής	Ορθοπαιδική	YES
85	Δημήτριος	Δημητρίου	Ειδικευόμενος	1	10	Αναστασία	Σταύρου	Διευθυντής	Καρδιολογία	YES
90	Αναστασία	Σταύρου	Ειδικευόμενος	1	15	Σταύρος	Σωτηρίου	Διευθυντής	Ορθοπαιδική	YES
